is_simulcast,episode_count,audio_locales,title,keywords,subtitle_locales,description,content_provider,is_dubbed,series_launch_year,is_mature,is_subbed,id,season_count,maturity_ratings,average,total,1s_displayed,1s_unit,1s_percentage,2s_displayed,2s_unit,2s_percentage,3s_displayed,3s_unit,3s_percentage,4s_displayed,4s_unit,4s_percentage,5s_displayed,5s_unit,5s_percentage,season_tags
False,12,"ja-JP, en-US",LBX Girls,sci-fi,"fr-FR, de-DE, en-US, es-419, hi-IN, pt-BR","In an unplanned field trip, Rico is transported to an alternate Japan where metal-based life forms known as Mimesis ravage the world. Only girls equipped with LBX armored weaponry can stand up to this scourge. Joined by four other displaced young women, Rico will have to adapt to save humanity. The hope of a planet now rests on these heavy metal soldiers who desire one wish—to return home again!",DMM Corporation,True,2022,False,True,G24H1N81X,1,TV-14,3.9,229,23,,11,16,,7,24,,11,54,,24,112,,49,
False,1,ja-JP,FLOW,music,"pt-BR, en-US, es-419","A top-rated J-rock band made famous by their songs for Naruto and Code Geass: Lelouch of the Rebellion, FLOW continues their concert series, “FLOW Chokaigi 2020 -Anime Shibari returns-.” Jamming out at Makuhari Messe Event Hall on February 24, 2020, watch them as they unleash their powerful double vocals on popular songs from Dragon Ball Z, Eureka Seven, and Naruto Shippuden!",Sony Music Japan,False,2022,False,True,G24H1N898,1,TV-14,3.8,138,38,,28,1,,1,2,,2,7,,6,90,,66,
False,13,"pt-BR, en-US, ja-JP, fr-FR, es-419",Berserk: The Golden Age Arc - Memorial Edition,"fantasy, action, drama","es-ES, fr-FR, en-US, it-IT, pt-BR, ar-SA, es-419, de-DE, ru-RU","When lone swordsman Guts is defeated in a duel by Griffith, ambitious leader of the Band of the Hawk mercenaries, he now must fight for him. Distrustful of all at first, through hard-fought battles, he soon begins to bond with his new comrades and their leader. As they rise in rank to a full-fledged army, he begins to harbor doubts about a life lived by the blade, unaware a dreadful fate awaits.",Aniplex of America,True,2022,True,True,G24H1N8XX,1,TV-MA,4.8,14807,366,,3,63,,1,159,,2,595,,5,13.6,K,93,fall-2022
True,12,"en-US, ja-JP",Ningen Fushin: Adventurers Who Don't Believe in Humanity Will Save the World,,"de-DE, en-US, es-419, fr-FR, ar-SA, pt-BR, it-IT, es-ES, ru-RU","Misfortune hits Nick when he’s fired from his adventurer party and dumped on the same day. Needing new partners, he drowns his sorrows at the local tavern, but sees betrayal everywhere. He catches a break when he chances upon other jaded souls sharing their tales of treachery. Wait! They can form a new party, united by their hatred of humanity. All they’ll need is to trust each other—good luck!",Showgate,True,2023,False,True,G24H1N8ZN,1,TV-14,4.4,14765,451,,4,567,,4,1.4,K,10,2.9,K,20,9.5,K,65,winter-2023
False,12,"ja-JP, ru-RU, de-DE, en-US",Parallel World Pharmacy,"deutsche synchro, fantasy, slice of life","pt-BR, es-ES, de-DE, ar-SA, fr-FR, it-IT, ru-RU, en-US, es-419","When pharmacologist Kanji Yakutani dies, he probably wasn’t thinking he’d be reincarnated as a boy apprentice in a medieval world. The distinguished medical researcher finds himself now surrounded by quack medicines swindling the common good. With his past experience and a new set of supernatural powers, he’ll go from cutting-edge medical technology to now reforming healthcare for all!",Kadokawa Pictures Inc.,True,2022,False,True,G24H1NJJD,1,TV-14,4.8,27912,311,,2,208,,1,709,,3,2.8,K,10,23.9,K,86,summer-2022
False,8,ja-JP,Irodorimidori,"music, slice of life","it-IT, es-419, pt-BR, en-US, es-ES, ru-RU, de-DE, fr-FR",,Frontwing,False,2023,False,True,G24H1NW17,1,TV-14,4.0,86,8,,10,6,,7,10,,12,15,,18,47,,55,
True,13,ja-JP,D4DJ All Mix,music,"ar-SA, fr-FR, pt-BR, de-DE, it-IT, en-US, es-419, es-ES, ru-RU","The beats are back with Lyrical Lily! After learning the awesome news they’ll be performing at their town revitalization event, they start to panic when they learn it’s a yearlong event. To keep it fresh and exciting, they’ll enlist some of the most popular DJ units around. A new stage is set, and Lyrical Lily is ready to shine!",Dentsu Tec,False,2023,False,True,G3KHEV032,2,TV-14,4.5,646,45,,7,11,,2,24,,4,52,,9,514,,80,winter-2023
True,12,"de-DE, fr-FR, ja-JP, en-US",Dead Mount Death Play,"fantasy, action, deutsche synchro","de-DE, ru-RU, ar-SA, fr-FR, it-IT, pt-BR, es-ES, en-US, es-419","As a legendary hero nears victory against a necromancer known as The Corpse God, things take an unexpected turn with the dark sorcerer’s final gambit—reincarnation magic. This last-ditch effort catches the brave fighter off guard, and now he’s a boy named Polka Shinoyama in a whole new world! The showdown between good and evil just got epic.",King Record Company Limited ,True,2023,False,True,G3KHEV04J,1,TV-14,4.8,20818,276,,2,174,,1,561,,3,1.9,K,10,17.9,K,86,spring-2023
True,12,"en-US, ja-JP",The Legendary Hero is Dead!,"fantasy, comedy, deutsche synchro","es-ES, de-DE, ru-RU, pt-BR, ar-SA, en-US, it-IT, es-419, fr-FR","In a world of monsters and magic, Sion, the local hero, is on his way to save the world from demons. Well, that was the plan until he fell into a pit dug by a sleazy villager, Touka, and died! After hiding the accident, Touka goes to bed as usual but wakes up feeling…different. Somehow he’s in Sion’s body! Now, the fate of the world is in his hands. What could go wrong?",PONY CANYON INC.,True,2023,False,True,G3KHEV09J,1,TV-14,4.0,10595,1.1,K,11,574,,6,1,K,10,1.9,K,19,5.9,K,56,spring-2023
False,6,"en-US, ja-JP",MOBILE SUIT GUNDAM THE ORIGIN,"sci-fi, action, drama, takashi imanishi","en-US, fr-FR",,Sunrise,True,2023,False,True,G3KHEV0NW,1,TV-14,4.8,290,9,,4,0,,0,7,,3,22,,8,252,,87,
